University,Community,Constituent,Private,Total
Tribhuvan University,110013,102085,72355,284453
Nepal Sanskrit University,80,1250,141,1471
Kathmandu University,0,6801,9857,16658
Purbanchal University,802,950,21787,23539
Pokhara University,0,1881,24151,26032
Lumbini Bauddha University,0,77,119,196
Agriculture and Forestry University,0,1583,0,1583
Mid-Western University,0,3046,0,3046
Far Western University,0,2211,0,2211
BP Koirala Institute for Health Sciences,0,1448,0,1448
National Academy of Medical Sciences,0,90,0,90
Patan Academy of Health Science,0,350,0,350
Karnali Academy Health Sciences,0,0,0,0
Nepal Open University,0,0,0,0
Rajarshi Janak University,0,0,0,0
Total,110895,121772,128410,361077
